id,task1_1,task1_2,task1_3
merge_0077,4,3,4
merge_0085,3,3,3
merge_0085,2,2,2
merge_0085,4,2,4
merge_0087,4,4,4
merge_0087,4,3,5
merge_0087,4,2,3
merge_0091,3,2,3
merge_0091,4,4,3
merge_0091,4,3,4
merge_0092,4,4,4
merge_0092,3,3,4
merge_0092,5,5,5
merge_0093,5,1,5
merge_0093,4,4,5
merge_0093,4,3,4
merge_0093,4,3,4
merge_0093,3,3,4
merge_0093,4,3,4
merge_0094,3,4,3
merge_0094,3,2,3
merge_0094,3,3,4
merge_0101,3,4,4
merge_0101,3,3,4
merge_0102,3,3,4
merge_0102,4,3,4
merge_0102,4,3,4
merge_0108,4,3,4
merge_0108,3,4,2
merge_0108,4,3,3
merge_0108,4,3,5
merge_0110,3,3,4
merge_0110,3,3,3
merge_0110,4,2,3
merge_0110,3,2,4
merge_0110,4,4,4
merge_0110,5,5,5
merge_0111,3,3,3
merge_0111,4,4,5
merge_0111,4,2,4
merge_0112,3,3,3
merge_0112,4,3,4
merge_0112,3,3,3
merge_0125,3,5,2
merge_0125,3,2,3
merge_0125,3,3,3
merge_0126,4,5,5
merge_0126,4,5,3
merge_0130,4,3,4
merge_0130,3,4,3
merge_0130,4,2,4
merge_0135,3,3,2
merge_0135,3,2,3
merge_0135,4,2,4
merge_0135,5,4,5
merge_0135,3,3,3
merge_0136,4,4,5
merge_0136,4,3,4
merge_0136,4,3,4
merge_0136,2,3,3
merge_0141,4,4,4
merge_0141,4,3,4
merge_0141,4,4,4
merge_0143,5,4,3
merge_0143,4,4,4
merge_0143,4,3,4
merge_0146,4,2,4
merge_0146,3,2,3
merge_0146,3,2,4
merge_0148,1,3,4
merge_0148,4,2,3
merge_0148,4,5,4
merge_0148,4,3,4
merge_0148,4,2,2
merge_0148,1,3,2
merge_0152,4,4,5
merge_0152,2,2,3
merge_0152,3,2,3
merge_0154,5,1,5
merge_0154,3,4,2
merge_0154,2,2,4
merge_0158,5,2,3
merge_0158,3,4,3
merge_0158,4,4,2
merge_0161,4,2,3
merge_0161,5,4,3
merge_0161,3,4,4
merge_0165,4,3,4
merge_0165,4,2,2
merge_0165,3,3,3
merge_0165,3,3,5
merge_0165,4,4,3
merge_0165,3,2,2
merge_0165,3,3,3
merge_0165,4,2,3
merge_0165,2,3,4
merge_0169,3,3,3
merge_0169,5,4,4
merge_0169,4,3,4
merge_0172,4,2,2
merge_0172,4,5,5
merge_0172,4,3,4
merge_0174,4,4,4
merge_0174,5,2,5
merge_0174,3,3,4
merge_0176,3,3,3
merge_0176,3,2,3
merge_0176,4,3,4
merge_0178,4,2,4
merge_0178,4,2,4
merge_0178,5,5,3
merge_0179,4,5,4
merge_0179,3,3,3
merge_0179,3,3,4
merge_0179,3,4,3
merge_0181,3,2,3
merge_0181,4,3,4
merge_0181,4,4,4
merge_0185,4,4,3
merge_0185,5,1,4
merge_0185,4,3,4
merge_0186,4,5,4
merge_0186,4,3,4
merge_0186,4,3,4
merge_0188,3,3,3
merge_0188,4,4,4
merge_0188,4,3,4
merge_0189,2,3,3
merge_0189,4,4,4
merge_0189,4,3,4
merge_0192,3,3,4
merge_0192,5,5,5
merge_0192,4,5,4
merge_0194,4,3,4
merge_0194,3,3,3
merge_0194,3,5,4
merge_0195,4,4,4
merge_0195,4,3,4
merge_0195,4,3,4
merge_0197,4,2,3
merge_0197,3,2,3
merge_0197,2,3,2
merge_0200,3,3,3
merge_0200,3,3,3
merge_0200,2,3,4
merge_0202,4,3,4
merge_0202,4,4,4
merge_0202,4,4,4
merge_0203,4,2,4
merge_0203,4,1,4
merge_0203,5,1,5
merge_0210,4,3,4
merge_0210,4,4,4
merge_0210,4,2,4
merge_0211,4,1,4
merge_0211,4,4,4
merge_0211,3,3,4
merge_0212,3,3,4
merge_0212,2,4,3
merge_0212,5,1,5
merge_0212,3,3,3
merge_0212,3,3,2
merge_0212,3,4,5
merge_0215,4,3,4
merge_0215,4,3,4
merge_0215,5,1,4
merge_0217,3,2,3
merge_0217,4,4,4
merge_0217,4,3,4
merge_0220,4,5,5
merge_0220,4,2,3
merge_0220,4,3,4
merge_0220,4,3,4
merge_0220,4,4,4
merge_0220,3,2,2
merge_0223,5,4,3
merge_0223,4,5,2
merge_0223,1,1,1
merge_0223,3,3,4
merge_0223,3,2,3
merge_0223,3,3,4
merge_0225,5,3,4
merge_0225,4,4,4
merge_0225,3,5,4
merge_0227,3,4,4
merge_0227,3,3,4
merge_0227,4,4,3
merge_0228,5,5,5
merge_0228,4,3,4
merge_0228,3,3,3
merge_0229,4,4,2
merge_0229,4,3,4
merge_0229,5,3,4
merge_0235,4,2,4
merge_0235,3,3,3
merge_0235,3,3,4
merge_0236,5,4,4
merge_0236,4,4,4
merge_0236,5,2,4
merge_0236,3,3,4
merge_0236,4,3,4
merge_0236,3,4,3
merge_0241,5,4,5
merge_0241,4,3,3
merge_0241,4,3,4
merge_0250,3,3,3
merge_0250,4,5,4
merge_0250,3,3,4
merge_0252,3,4,3
merge_0252,4,4,4
merge_0252,4,4,4
merge_0252,4,3,4
merge_0252,3,2,3
merge_0252,4,3,4
merge_0253,3,3,4
merge_0253,4,3,4
merge_0253,3,4,4
merge_0256,4,3,4
merge_0256,4,3,3
merge_0256,3,3,3
merge_0257,4,3,4
merge_0257,3,4,4
merge_0257,4,4,4
merge_0263,4,3,4
merge_0263,3,3,4
merge_0263,4,5,5
merge_0267,4,4,4
merge_0267,5,1,5
merge_0267,4,4,4
merge_0267,4,2,3
merge_0267,5,5,5
merge_0267,4,2,3
merge_0268,4,3,4
merge_0268,4,2,3
merge_0268,4,4,4
merge_0269,3,3,4
merge_0269,3,3,3
merge_0269,4,2,4
merge_0275,4,4,4
merge_0275,3,2,4
merge_0275,4,3,3
merge_0276,4,3,4
merge_0276,4,3,4
merge_0276,5,4,5
merge_0276,3,3,4
merge_0276,3,3,4
merge_0278,3,2,2
merge_0278,4,2,3
merge_0278,3,4,4
merge_0281,4,4,4
merge_0281,3,4,3
merge_0281,4,3,4
merge_0283,4,3,3
merge_0283,3,4,4
merge_0283,4,3,4
merge_0284,3,3,3
merge_0284,4,2,2
merge_0284,4,3,4
merge_0284,4,3,4
merge_0284,3,3,3
merge_0284,4,2,2
merge_0289,3,3,3
merge_0289,3,4,3
merge_0289,3,5,5
merge_0292,3,3,3
merge_0292,4,4,5
merge_0292,4,3,4
merge_0294,4,3,4
merge_0294,5,5,5
merge_0294,4,3,4
merge_0295,4,3,5
merge_0295,4,1,4
merge_0296,2,2,2
merge_0296,4,2,3
merge_0296,4,3,4
merge_0298,3,3,3
merge_0298,5,4,3
merge_0298,3,3,4
merge_0299,5,3,4
merge_0299,4,4,4
merge_0299,3,4,3
merge_0303,4,1,5
merge_0303,5,5,4
merge_0303,2,3,4
merge_0306,4,4,4
merge_0306,4,4,4
merge_0306,2,3,4
merge_0309,4,4,5
merge_0309,5,3,4
merge_0309,1,1,5
merge_0311,4,5,4
merge_0311,3,3,3
merge_0311,3,3,3
merge_0313,4,4,4
merge_0313,3,4,4
merge_0313,3,2,3
merge_0317,4,3,4
merge_0317,4,1,3
merge_0317,5,5,5
merge_0319,3,2,3
merge_0319,3,2,4
merge_0319,4,4,4
merge_0319,3,2,4
merge_0319,4,4,4
merge_0319,3,3,4
merge_0320,5,1,5
merge_0320,4,2,4
merge_0320,3,5,4
merge_0322,4,2,3
merge_0322,3,1,3
merge_0322,3,3,3
merge_0323,4,4,4
merge_0323,4,3,4
merge_0323,4,3,4
merge_0324,3,2,4
merge_0324,3,3,3
merge_0324,2,3,3
merge_0327,4,3,2
merge_0327,4,3,4
merge_0327,2,3,4
merge_0327,3,3,4
merge_0331,2,2,2
merge_0331,4,4,4
merge_0331,2,2,3
merge_0332,4,5,4
merge_0332,3,3,4
merge_0332,4,4,5
merge_0336,3,4,5
merge_0336,4,4,4
merge_0336,5,3,4
merge_0338,4,4,3
merge_0338,4,2,4
merge_0338,4,2,3
merge_0340,3,4,3
merge_0340,3,4,3
merge_0340,4,4,4
merge_0342,3,4,3
merge_0342,5,3,4
merge_0342,4,2,3
merge_0342,1,1,1
merge_0342,5,5,5
merge_0342,4,5,4
merge_0348,5,1,5
merge_0348,3,3,4
merge_0348,4,2,2
merge_0348,3,4,2
merge_0349,4,3,4
merge_0349,3,2,3
merge_0349,4,2,4
merge_0351,5,4,4
merge_0351,4,3,4
merge_0351,3,3,4
merge_0353,3,2,3
merge_0353,3,2,4
merge_0353,4,4,3
merge_0357,4,4,4
merge_0357,3,3,3
merge_0357,3,4,3
merge_0364,3,3,3
merge_0364,4,3,4
merge_0364,4,3,5
merge_0367,4,3,4
merge_0367,4,2,4
merge_0367,5,5,5
merge_0368,3,3,4
merge_0368,3,3,2
merge_0368,3,4,2
merge_0368,4,4,4
merge_0368,3,2,3
merge_0368,4,5,4
merge_0371,3,3,4
merge_0371,4,3,4
merge_0371,4,4,4
merge_0371,3,4,3
merge_0371,4,3,4
merge_0371,3,3,3
merge_0371,4,2,4
merge_0371,4,3,4
merge_0371,3,2,4
merge_0373,4,2,4
merge_0373,4,2,3
merge_0373,4,5,5
merge_0376,4,3,4
merge_0376,4,4,4
merge_0376,3,3,3
merge_0378,4,3,4
merge_0378,3,2,2
merge_0378,4,2,4
merge_0379,4,3,3
merge_0379,3,3,4
merge_0379,4,3,4
merge_0379,3,2,4
merge_0380,4,4,4
merge_0380,5,4,4
merge_0383,3,2,4
merge_0383,3,2,3
merge_0383,5,1,4
merge_0383,4,3,4
merge_0383,2,3,3
merge_0383,4,3,4
merge_0386,4,3,4
merge_0386,4,2,3
merge_0386,3,4,2
merge_0388,4,4,4
merge_0388,5,4,4
merge_0388,3,3,4
merge_0390,1,1,1
merge_0390,4,3,4
merge_0390,3,2,3
merge_0392,2,3,4
merge_0392,4,4,4
merge_0392,3,3,3
merge_0393,5,4,5
merge_0393,3,3,3
merge_0393,3,2,4
merge_0394,4,3,4
merge_0394,3,3,3
merge_0394,3,3,4
merge_0397,4,3,4
merge_0397,4,3,4
merge_0397,4,4,4
merge_0398,4,1,3
merge_0398,4,2,4
merge_0398,4,2,3
merge_0399,4,4,4
merge_0399,3,3,4
merge_0399,4,3,4
merge_0400,4,3,4
merge_0400,3,3,3
merge_0400,4,4,4
merge_0401,3,2,2
merge_0401,3,2,3
merge_0401,4,2,2
merge_0402,5,5,5
merge_0402,3,3,4
merge_0402,2,2,2
merge_0409,3,2,2
merge_0409,4,5,3
merge_0409,4,2,4
merge_0417,2,3,4
merge_0417,5,1,4
merge_0417,3,3,3
merge_0417,4,3,4
merge_0420,4,3,4
merge_0420,4,4,4
merge_0420,4,4,4
merge_0423,4,3,4
merge_0423,5,5,5
merge_0423,4,4,4
merge_0424,4,3,4
merge_0424,3,3,4
merge_0424,4,4,5
merge_0431,5,5,4
merge_0431,2,2,3
merge_0431,5,1,4
merge_0431,3,4,4
merge_0431,4,2,4
merge_0431,1,1,1
merge_0432,3,3,3
merge_0432,4,3,4
merge_0432,3,4,3
merge_0443,3,4,4
merge_0443,3,3,3
merge_0443,4,3,4
merge_0443,3,3,4
merge_0443,3,3,3
merge_0443,4,4,4
merge_0446,2,2,3
merge_0446,4,2,3
merge_0446,4,4,4
merge_0448,4,1,5
merge_0448,3,2,4
merge_0448,4,2,4
merge_0453,4,4,4
merge_0453,4,5,5
merge_0453,3,2,3
merge_0454,2,2,4
merge_0454,4,4,3
merge_0454,4,2,4
merge_0455,3,3,4
merge_0455,3,3,4
merge_0455,4,4,5
merge_0455,4,5,4
merge_0455,4,4,4
merge_0455,4,3,4
merge_0456,4,4,4
merge_0456,2,2,4
merge_0456,3,3,3
merge_0457,4,1,4
merge_0457,3,3,2
merge_0457,4,2,3
merge_0458,4,3,4
merge_0458,4,3,4
merge_0458,4,4,4
merge_0458,1,2,3
merge_0458,4,3,3
merge_0458,3,4,3
merge_0460,4,4,3
merge_0460,2,2,4
merge_0460,5,1,5
merge_0465,3,2,2
merge_0465,4,3,4
merge_0465,5,4,4
merge_0465,1,1,1
merge_0465,5,5,5
merge_0465,4,2,3
merge_0468,4,3,4
merge_0468,2,2,2
merge_0468,4,3,4
merge_0469,2,4,3
merge_0469,3,3,3
merge_0469,4,3,4
merge_0470,4,4,4
merge_0470,4,2,4
merge_0470,2,3,4
merge_0470,4,5,5
merge_0486,4,3,4
merge_0486,4,2,3
merge_0486,3,3,3
merge_0492,4,4,3
merge_0492,3,3,4
merge_0492,1,4,4
merge_0500,4,2,4
merge_0500,4,5,4
merge_0500,4,4,3
merge_0502,3,4,4
merge_0502,4,2,2
merge_0502,4,3,4
merge_0503,4,2,4
merge_0503,3,3,3
merge_0503,4,3,3
merge_0503,3,3,3
merge_0503,2,3,4
merge_0503,4,2,3
merge_0506,4,3,4
merge_0506,5,5,5
merge_0506,4,4,3
merge_0507,4,4,3
merge_0507,4,4,4
merge_0507,3,3,3
merge_0508,4,5,4
merge_0508,5,5,5
merge_0508,2,3,4
merge_0508,4,2,4
merge_0509,4,3,4
merge_0509,4,4,4
merge_0509,4,4,4
merge_0515,3,3,4
merge_0515,4,4,3
merge_0515,4,4,4
merge_0519,3,3,3
merge_0519,4,2,4
merge_0519,4,4,5
merge_0520,4,3,4
merge_0520,4,3,5
merge_0520,4,2,2
merge_0524,4,3,4
merge_0524,2,2,3
merge_0524,3,3,3
merge_0525,4,3,4
merge_0525,3,3,3
merge_0525,4,4,4
merge_0529,4,4,5
merge_0529,3,3,4
merge_0529,4,4,4
merge_0529,3,5,4
merge_0529,5,4,3
merge_0529,4,3,4
merge_0530,3,4,3
merge_0530,4,3,3
merge_0530,3,4,3
merge_0530,4,3,4
merge_0530,4,4,4
merge_0530,4,3,4
merge_0531,5,4,4
merge_0531,3,2,4
merge_0531,3,1,4
merge_0532,4,1,4
merge_0532,4,5,4
merge_0532,4,4,4
merge_0533,2,2,3
merge_0533,3,3,4
merge_0533,2,3,2
merge_0538,4,2,2
merge_0538,2,3,4
merge_0538,3,5,4
merge_0538,4,3,4
merge_0538,3,3,4
merge_0538,4,3,4
merge_0539,4,1,4
merge_0539,5,3,4
merge_0539,4,3,4
merge_0542,5,4,5
merge_0542,4,4,3
merge_0542,3,3,4
merge_0543,3,3,3
merge_0543,4,2,3
merge_0543,4,4,5
merge_0545,3,3,4
merge_0545,5,4,4
merge_0545,4,3,4
merge_0549,2,3,3
merge_0549,3,2,3
merge_0549,4,4,4
merge_0554,4,4,4
merge_0554,3,3,4
merge_0554,4,3,5
merge_0555,4,3,4
merge_0555,4,3,4
merge_0555,4,3,4
merge_0564,3,2,3
merge_0564,4,4,5
merge_0564,4,4,4
merge_0565,5,4,4
merge_0565,4,3,4
merge_0565,4,1,5
merge_0567,3,4,5
merge_0567,2,2,3
merge_0567,3,4,3
merge_0570,4,2,2
merge_0570,3,3,4
merge_0570,3,3,3
merge_0576,4,4,5
merge_0576,3,4,5
merge_0576,4,2,3
merge_0577,4,4,4
merge_0577,3,3,3
merge_0577,5,3,4
merge_0579,4,1,5
merge_0579,4,4,4
merge_0579,4,3,4
merge_0581,4,3,5
merge_0581,4,3,3
merge_0581,3,3,4
merge_0583,4,4,3
merge_0583,5,4,5
merge_0583,3,4,3
merge_0586,4,4,4
merge_0586,4,4,4
merge_0586,5,4,5
merge_0586,1,1,1
merge_0586,2,2,3
merge_0586,3,3,4
merge_0586,4,3,4
merge_0586,4,4,4
merge_0586,4,4,3
merge_0589,3,3,3
merge_0589,5,5,4
merge_0589,2,3,4
merge_0590,4,3,4
merge_0590,3,2,2
merge_0590,4,2,4
merge_0591,3,3,3
merge_0591,4,4,4
merge_0591,4,2,4
merge_0594,3,3,3
merge_0594,3,3,4
merge_0594,4,2,4
merge_0595,1,1,5
merge_0595,3,3,4
merge_0600,4,3,4
merge_0600,3,2,5
merge_0600,2,3,4
merge_0600,4,2,3
merge_0600,3,4,3
merge_0600,4,4,4
merge_0600,3,3,3
merge_0600,4,3,4
merge_0600,3,3,3
merge_0600,4,4,5
merge_0600,3,3,3
merge_0600,3,2,3
merge_0607,5,2,3
merge_0607,4,4,4
merge_0607,3,3,3
merge_0610,4,3,2
merge_0610,4,3,4
merge_0610,4,3,4
merge_0611,3,3,4
merge_0611,4,5,5
merge_0611,4,1,4
merge_0613,3,4,3
merge_0613,4,4,4
merge_0613,3,3,4
merge_0620,2,3,4
merge_0620,2,3,3
merge_0620,4,4,3
merge_0620,5,1,5
merge_0622,4,3,4
merge_0622,2,3,2
merge_0622,3,3,4
merge_0625,3,4,5
merge_0625,4,3,4
merge_0625,4,4,4
merge_0627,4,4,3
merge_0627,4,3,3
merge_0627,4,2,3
merge_0627,4,3,3
merge_0627,4,3,4
merge_0627,4,2,4
merge_0629,5,4,5
merge_0629,4,5,4
merge_0629,5,3,4
merge_0631,4,3,4
merge_0631,3,4,4
merge_0631,4,4,3
merge_0631,2,4,4
merge_0631,4,3,4
merge_0631,5,3,4
merge_0631,4,2,4
merge_0631,4,2,4
merge_0637,5,5,5
merge_0637,4,3,4
merge_0637,3,2,4
merge_0641,4,3,3
merge_0641,3,2,3
merge_0641,4,2,4
merge_0643,4,3,5
merge_0643,4,3,3
merge_0643,4,3,4
merge_0643,4,3,4
merge_0643,2,3,4
merge_0643,4,2,4
merge_0652,4,2,3
merge_0652,4,3,3
merge_0652,4,5,4
merge_0658,2,4,3
merge_0658,3,5,5
merge_0658,4,3,4
merge_0659,5,5,5
merge_0659,3,3,3
merge_0659,4,3,4
merge_0659,4,3,4
merge_0659,3,3,4
merge_0659,3,3,4
merge_0665,4,5,3
merge_0665,4,3,4
merge_0665,5,4,4
merge_0668,4,3,4
merge_0668,3,3,4
merge_0668,4,4,3
merge_0668,3,3,4
merge_0668,3,3,3
merge_0668,4,4,4
merge_0671,3,2,3
merge_0671,3,3,3
merge_0671,4,4,3
merge_0671,4,3,4
merge_0671,3,4,4
merge_0671,3,2,3
merge_0677,3,3,4
merge_0677,4,3,4
merge_0677,3,3,3
merge_0677,2,1,1
merge_0677,4,2,2
merge_0677,3,4,4
merge_0679,3,2,4
merge_0679,5,3,4
merge_0679,4,4,5
merge_0679,5,1,5
merge_0679,4,3,4
merge_0679,5,4,4
merge_0680,3,3,4
merge_0680,4,4,4
merge_0680,4,3,4
merge_0681,3,3,4
merge_0681,3,3,3
merge_0681,4,4,4
merge_0683,4,4,4
merge_0683,3,2,3
merge_0683,4,3,4
merge_0687,4,3,4
merge_0687,3,3,4
merge_0687,3,3,3
merge_0688,3,2,3
merge_0688,4,2,4
merge_0688,5,2,5
merge_0689,3,2,3
merge_0689,3,4,3
merge_0689,3,3,3
merge_0689,4,4,3
merge_0689,4,4,4
merge_0689,4,3,4
merge_0693,3,3,3
merge_0693,3,3,3
merge_0693,3,3,4
merge_0694,4,2,3
merge_0694,5,1,5
merge_0694,4,4,5
merge_0694,5,1,5
merge_0694,4,3,4
merge_0694,5,1,5
merge_0698,4,4,4
merge_0698,3,4,4
merge_0698,3,3,4
merge_0701,4,4,4
merge_0701,4,5,3
merge_0701,4,3,4
merge_0708,3,2,4
merge_0708,4,2,4
merge_0708,4,4,4
merge_0709,4,2,4
merge_0709,3,4,4
merge_0709,3,3,4
merge_0709,3,3,4
merge_0709,3,3,3
merge_0709,3,3,3
merge_0711,5,4,3
merge_0711,3,2,3
merge_0711,3,4,3
merge_0712,3,2,4
merge_0712,4,3,5
merge_0712,3,2,4
merge_0714,3,3,3
merge_0714,4,4,4
merge_0715,3,3,4
merge_0715,5,3,2
merge_0715,3,3,4
merge_0716,2,2,3
merge_0716,3,3,4
merge_0716,4,4,4
merge_0717,4,3,4
merge_0717,3,2,4
merge_0717,3,4,4
merge_0717,3,4,3
merge_0717,4,3,3
merge_0717,3,4,3
merge_0721,4,4,3
merge_0721,4,2,4
merge_0721,3,3,4
merge_0723,5,1,5
merge_0723,4,3,4
merge_0723,4,1,4
merge_0738,4,4,4
merge_0738,4,4,4
merge_0741,3,3,4
merge_0741,4,4,4
merge_0741,4,3,4
merge_0744,4,3,4
merge_0744,4,4,3
merge_0744,4,3,3
merge_0744,3,5,4
merge_0744,5,1,5
merge_0744,4,3,4
merge_0745,3,3,4
merge_0745,3,2,3
merge_0745,2,3,3
merge_0748,4,3,3
merge_0748,4,3,3
merge_0748,4,2,3
merge_0750,4,5,4
merge_0750,3,3,3
merge_0750,4,4,5
merge_0758,3,2,4
merge_0758,4,4,4
merge_0758,3,2,4
merge_0761,4,3,4
merge_0761,4,4,4
merge_0761,3,4,2
merge_0762,4,3,3
merge_0762,4,2,4
merge_0762,4,2,2
merge_0762,3,3,3
merge_0762,4,3,3
merge_0762,3,3,4
merge_0763,3,3,4
merge_0763,2,4,3
merge_0763,3,2,4
merge_0763,2,4,2
merge_0763,4,5,4
merge_0763,4,2,2
merge_0763,3,2,2
merge_0763,4,3,4
merge_0763,4,4,3
merge_0763,5,1,5
merge_0763,4,2,3
merge_0763,4,4,4
merge_0767,3,2,3
merge_0767,2,2,4
merge_0767,4,4,4
merge_0767,4,2,2
merge_0767,4,3,4
merge_0767,4,3,4
merge_0769,4,3,3
merge_0769,3,3,4
merge_0769,4,4,5
merge_0774,4,4,3
merge_0774,4,3,4
merge_0774,3,5,3
merge_0774,4,3,4
merge_0774,5,4,5
merge_0774,3,4,4
merge_0775,2,4,3
merge_0775,4,5,5
merge_0775,4,2,3
merge_0779,4,2,4
merge_0779,4,3,2
merge_0779,5,2,5
merge_0779,3,3,3
merge_0780,4,3,4
merge_0780,4,3,3
merge_0780,4,5,4
merge_0782,4,3,4
merge_0782,4,4,4
merge_0782,4,5,4
merge_0782,4,5,4
merge_0782,4,5,4
merge_0782,4,3,4
merge_0784,3,3,3
merge_0784,4,3,3
merge_0784,4,3,4
merge_0786,3,3,3
merge_0786,4,4,4
merge_0786,3,4,2
merge_0787,4,2,4
merge_0787,3,3,3
merge_0787,3,4,3
merge_0787,3,3,4
merge_0787,4,2,2
merge_0787,3,3,4
merge_0788,5,1,5
merge_0788,5,5,5
merge_0788,3,3,3
merge_0788,3,2,3
merge_0788,4,3,4
merge_0788,5,4,5
merge_0789,5,4,3
merge_0789,5,5,5
merge_0789,4,3,4
merge_0790,3,2,3
merge_0790,3,3,4
merge_0790,4,3,4
merge_0792,3,3,3
merge_0792,3,4,3
merge_0792,4,2,4
merge_0793,4,3,4
merge_0793,2,3,4
merge_0793,4,3,4
merge_0797,4,4,4
merge_0797,3,3,4
merge_0797,3,3,4
merge_0803,3,3,3
merge_0803,2,3,4
merge_0803,3,3,3
merge_0803,4,3,4
merge_0805,5,2,3
merge_0805,4,3,4
merge_0805,4,3,3
merge_0806,4,3,4
merge_0806,4,4,4
merge_0806,3,4,4
merge_0807,4,4,5
merge_0807,4,2,3
merge_0807,4,5,3
merge_0814,3,4,3
merge_0814,3,3,4
merge_0814,3,2,3
merge_0814,4,5,5
merge_0814,5,1,5
merge_0814,3,4,4
merge_0828,4,3,3
merge_0828,3,3,4
merge_0828,3,3,4
merge_0829,4,4,4
merge_0829,4,4,4
merge_0829,4,2,3
merge_0832,4,5,5
merge_0832,3,4,4
merge_0832,4,3,4
merge_0842,5,4,3
merge_0842,4,4,3
merge_0842,4,3,4
merge_0843,4,5,5
merge_0843,3,3,4
merge_0843,4,4,4
merge_0844,4,2,3
merge_0844,2,3,3
merge_0844,4,4,4
merge_0845,4,4,4
merge_0845,4,3,4
merge_0845,3,3,3
merge_0848,5,1,4
merge_0848,4,2,2
merge_0848,5,4,4
merge_0848,4,3,4
merge_0848,4,4,4
merge_0848,4,2,4
merge_0850,4,5,3
merge_0850,4,3,3
merge_0850,4,3,4
merge_0853,4,3,4
merge_0853,4,1,5
merge_0853,3,4,3
merge_0854,4,3,4
merge_0854,4,5,4
merge_0854,3,3,3
merge_0855,4,3,4
merge_0855,4,4,4
merge_0855,5,2,5
merge_0856,4,3,1
merge_0856,4,3,4
merge_0856,4,5,2
merge_0856,3,4,4
merge_0863,3,2,3
merge_0863,4,2,2
merge_0863,3,3,3
merge_0868,2,3,3
merge_0868,4,3,4
merge_0868,2,3,4
merge_0873,4,4,4
merge_0873,4,3,4
merge_0873,4,2,2
merge_0873,3,3,4
merge_0873,4,3,3
merge_0873,2,2,4
merge_0877,3,3,4
merge_0877,3,3,4
merge_0877,4,3,4
merge_0881,4,2,4
merge_0881,4,2,4
merge_0881,4,3,4
merge_0882,4,4,3
merge_0882,4,4,4
merge_0882,3,1,2
merge_0882,3,2,4
merge_0882,4,4,3
merge_0882,4,3,4
merge_0886,4,3,4
merge_0886,1,1,1
merge_0886,3,3,4
merge_0889,4,4,4
merge_0889,4,4,3
merge_0889,3,2,4
merge_0889,4,3,4
merge_0889,4,5,3
merge_0889,3,5,4
merge_0890,3,3,4
merge_0890,4,4,3
merge_0890,3,4,3
merge_0892,4,3,4
merge_0892,3,4,3
merge_0892,5,1,5
merge_0894,3,3,3
merge_0894,3,3,3
merge_0894,3,2,3
merge_0895,4,2,4
merge_0895,3,2,3
merge_0895,4,4,4
merge_0898,4,3,4
merge_0898,2,4,3
merge_0898,2,3,5
merge_0898,5,5,5
merge_0898,3,3,4
merge_0898,3,3,4
merge_0899,3,3,3
merge_0899,3,3,4
